LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students,no_dates_total,Abhaltungssprache_subinfo,Institut,E-Mail,Ausbildungslevel,Studienfachbereich,Anbietende Uni,Quellcurriculum,Beurteilungskriterien,Lehrmethoden,Abhaltungssprache_studyhandbook,Literatur,Lehrinhalte wechselnd?,Sonstige Informationen,Studienfach
258.410,Data Mining,VL,Präsenz,Christoph Georg Schütz,2024S,"3,00","2,0",Mo. 17.06.24 12:00 - 13:30,150,170,10.0,English,I. WI Data & Knowledge Engineering,christoph.schuetz@jku.at,M1 - Master 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik 2023W,Schriftliche Klausur,"Die Lehrinhalte werden vermittelt mittels Methoden des Blended Learning, insbesondere Flipped Classroom, mit interaktiven Elementen zur Festigung des Wissens.",deutsch/englisch,"Basisliteratur:
Han, J.; Kamber, M.: Data Mining: Concepts and Techniques. Morgan Kaufmann, in der aktuellen Auflage.
Ergänzungsliteratur:
Witten, I. H.; Hall, M.: Data Mining: Practical Machine Learning Tools and Techniques. Morgan Kaufmann, in der aktuellen Auflage.
Kotu, V.; Deshpande, B.: Predictive Analytics and Data Mining: Concepts and Practice with Rapidminer. Morgan Kaufmann, in der aktuellen Auflage.
Van der Aalst, W.: Process Mining. Springer, in der aktuellen Auflage.
Liu, B.: Web Data Mining: Exploring Hyperlinks, Contents, and Usage Data. Springer Verlag, in der aktuellen Auflage.
Weitere Ergänzungsliteratur wird in jedem Semester bekannt gegeben.",Nein,,Wahlfach Wirtschaftsinformatik
371.000,Einführung in den Maschinenbau,VL,Präsenz,Klaus Zeman,2024S,"3,00","2,0",Mi. 19.06.24 08:30 - 10:00,150,148,27.0,German,I. Mechatr. Produktentw. u. Fertigung,klaus.zeman@jku.at,B1 - Bachelor 1. Jahr,Maschinenbau,Johannes Kepler Universität Linz,Bachelorstudium Maschinenbau 2022W,schriftliche Prüfung,"Frontalunterricht, Erklären der theoretischen Grundlagen anhand eines Skriptums und Beispielen",Deutsch,Skriptum bzw. entsprechende Unterlagen werden zur Verfügung gestellt.,Nein,keine,Pflichtfächer
239.124,Einführung in die Makroökonomie,IK,Präsenz,Maximilian Böck,2024S,"3,00","2,0",Fr. 12.07.24 13:45 - 15:15,40,14,6.0,German,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,"Blanchard, Olivier / Amighini, Alessia / Giavazzi, Francesco (2010), Macroeconomics – A European Perspective. Harlow (UK) etc.: Prentice Hall (Pearson Education), see 
http://www.pearsoned.co.uk/bookshop/detail.asp?item=100000000300737",Nein,,Wahlfächer
239.125,Einführung in die Makroökonomie,IK,Präsenz,Benjamin Karner,2024S,"3,00","2,0",Mo. 01.07.24 17:15 - 18:45,40,42,10.0,German,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,"Blanchard, Olivier / Amighini, Alessia / Giavazzi, Francesco (2010), Macroeconomics – A European Perspective. Harlow (UK) etc.: Prentice Hall (Pearson Education), see 
http://www.pearsoned.co.uk/bookshop/detail.asp?item=100000000300737",Nein,,Wahlfächer
239.126,Einführung in die Makroökonomie,IK,Präsenz,Benjamin Karner,2024S,"3,00","2,0",Mo. 01.07.24 17:15 - 18:45,40,35,10.0,German,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,"Blanchard, Olivier / Amighini, Alessia / Giavazzi, Francesco (2010), Macroeconomics – A European Perspective. Harlow (UK) etc.: Prentice Hall (Pearson Education), see 
http://www.pearsoned.co.uk/bookshop/detail.asp?item=100000000300737",Nein,,Wahlfächer
239.300,Einführung in die Makroökonomie,IK,Präsenz,Johannes Lukas,2024S,"3,00","2,0",Fr. 05.07.24 12:00 - 13:30,40,37,7.0,German,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften 2020W 2020W,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,"Blanchard, Olivier / Amighini, Alessia / Giavazzi, Francesco (2010), Macroeconomics – A European Perspective. Harlow (UK) etc.: Prentice Hall (Pearson Education), see 
http://www.pearsoned.co.uk/bookshop/detail.asp?item=100000000300737",Nein,,Wahlfächer
259.002,Einführung in die Softwareentwicklung mit Python,VL,Präsenz,Iris Groher,2024S,"3,00","2,0",Di. 18.06.24 12:00 - 13:30,200,223,11.0,German,I. WI Software Engineering,iris.groher@jku.at,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre 2021W,Kumulative Modulprüfung,"Folienvortrag mit Beispielen an der Tafel, Distance Learning",Deutsch / English,Wird in der Lehrveranstaltung bekannt gegeben,Nein,(*)Attending the exercise (Uebung) connected with this lecture in the same semester is obligatory.,Wahlfächer
243.115,Einführung in die Wirtschaftswissenschaften für Juristinnen und Juristen,KV,Präsenz,René Andeßner,2024S,"6,00","6,0",Di. 17.09.24 15:30 - 18:45,200,134,22.0,German,I. Public and Nonprofit Management,jurbwl@jku.at,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften 2016W,Schriftliche Klausur,"Vortrag durch die LVA-LeiterInnen
Diskussion von Fällen und Beispielen
Begleitendes Selbststudium",Deutsch,"In der jeweils aktuellen Auflage:
Schauer, Reinbert, Betriebswirtschaftslehre, Grundlagen, 
Pernsteiner, Helmut/Andeßner, René, Finanzmanagement kompakt,
Messner, Stephanie, C1. Buchhaltung, Bilanzierung und Bilanzanalyse, in: Messner, Stephanie/Kreidl, Christian/Wala,  Thomas (Hrsg.), Grundlagen der Betriebswirtschaftslehre, 4. Auflage, Wien 2014, S. 95-132.
Von den genannten Büchern sind nur bestimmte Teile lehrveranstaltungsrelevant, genauere Hinweise zur Handhabung der Literatur werden am Beginn der Lehrveranstaltung gegeben.",Nein,,Zweiter Studienabschnitt
325.004,Einführung in die Zahlentheorie,VO,Präsenz,Friedrich Pillichshammer,2024S,"3,00","2,0",Mi. 19.06.24 10:15 - 11:45,30,20,13.0,German,I. Finanzmath. u. Angew. Zahlentheorie,,B3 - Bachelor 3. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Technische Mathematik 2023W,Schriftliche Prüfung,,Deutsch,Skriptum,Nein,,Wahlfächer
340.400,Embedded and Pervasive Systems,VO,Präsenz,Alois Ferscha,2024S,"3,00","2,0",Di. 18.06.24 15:30 - 17:00,200,140,13.0,German,I. Pervasive Computing,teaching@pervasive.jku.at,B3 - Bachelor 3. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik 2021S,Klausur am Semesterende,Foliengestützter Vortrag ,Deutsch,Folien werden im Kursbereich in Moodle zur Verfügung gestellt. Ergänzende Literatur wird in der Lehrveranstaltung bekannt gegeben.,Nein,https://www.jku.at/institut-fuer-pervasive-computing/,Systeme
346.202,Exercises in Physical Chemistry II,UE,Präsenz,Elisabeth Leeb,2024S,"1,50","1,0",Mo. 17.06.24 09:15 - 10:00,25,26,12.0,English,I. Physikalische Chemie,elisabeth.leeb@jku.at,B2 - Bachelor 2. Jahr,Chemie,Johannes Kepler Universität Linz,Bachelorstudium Chemistry and Chemical Technology 2021W,"(*)written exam, attendance, homework","(*)mathematical calculations of examples, questions during the course",Englisch,"(*)Physikalische Chemie II&III, Gordon M. Barrow, Bohmann-Vieweg, 3rd edition, 1976/1977.
Atkins’ Physical Chemistry, Peter Atkins, Julio de Paula, James Keeler, Oxford University Press; 11th edition, 2017.
Physical Chemistry, Engel and Reid, Pearson Education, 2005 ISBN 080533842X
Chemical bonding, Mark J. Winter, Oxford Chemistry Primers, 2nd edition, 2016.
Introduction to Quantum Theory and Atomic Structure, P. A. Cox, Oxford Chemistry Primers, 1996.",Nein,,(*)Physical Chemistry
346.203,Exercises in Physical Chemistry II,UE,Präsenz,Elisabeth Leeb,2024S,"1,50","1,0",Mo. 17.06.24 09:15 - 10:00,25,26,12.0,English,I. Physikalische Chemie,elisabeth.leeb@jku.at,B2 - Bachelor 2. Jahr,Chemie,Johannes Kepler Universität Linz,Bachelorstudium Chemistry and Chemical Technology 2021W,"(*)written exam, attendance, homework","(*)mathematical calculations of examples, questions during the course",Englisch,"(*)Physikalische Chemie II&III, Gordon M. Barrow, Bohmann-Vieweg, 3rd edition, 1976/1977.
Atkins’ Physical Chemistry, Peter Atkins, Julio de Paula, James Keeler, Oxford University Press; 11th edition, 2017.
Physical Chemistry, Engel and Reid, Pearson Education, 2005 ISBN 080533842X
Chemical bonding, Mark J. Winter, Oxford Chemistry Primers, 2nd edition, 2016.
Introduction to Quantum Theory and Atomic Structure, P. A. Cox, Oxford Chemistry Primers, 1996.",Nein,,(*)Physical Chemistry
531.240,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Do. 20.06.24 13:45 - 14:30,25,30,34.0,German,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,,,Not available
531.241,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Do. 20.06.24 13:45 - 14:30,25,10,34.0,German,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,,,Not available
531.242,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Do. 20.06.24 13:45 - 14:30,25,14,34.0,German,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,,,Not available
243.001,Grundkurs Public und Nonprofit Management,KS,Präsenz,Sandra Stötzer,2024S,"6,00","4,0",Mi. 03.07.24 15:30 - 18:45,100,72,11.0,German,I. Public and Nonprofit Management,,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre 2023W,Schriftliche Klausur,Vortrag durch die Lehrenden; Selbststudium der Basisliteratur; gegebenenfalls Gastvortrag,Deutsch,"Schauer, Reinbert (2019), Öffentliche Betriebswirtschaftslehre – Public Management, 4. Auflage, Wien.
Schauer, Reinbert (2016), Rechnungswesen in öffentlichen Verwaltungen, 3. Auflage, Wien. 
Lichtsteiner, Hans/Gmür, Markus/Giroud, Charles/Schauer, Reinbert (2020), Das Freiburger Management-Modell für Nonprofit-Organisationen, 9. Auflage, Bern/Stuttgart/Wien. 
Andeßner, René Clemens (2004), Integriertes Potentialmanagement in Nonprofit-Organisationen, Linz. 
Weitere Literatur zur Public Governance wird im Kurs bekannt gegeben.",Nein,,Wahlfächer
360.001,Grundzüge der Thermofluiddynamik,VL,Präsenz,Philipp Gittler,2024S,"4,50","3,0",Mo. 17.06.24 12:00 - 13:30,200,121,28.0,German,I. Strömungslehre u. Wärmeübertragung,office.fluid@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2022W,Schriftliche und/oder mündliche Prüfung,Vortrag anhand eines Skriptums,Deutsch,"W. Schneider: Repetitorium Thermodynamik, Oldenburg Verlag, 1996.
H. Herwig, C.H. Kautz: Technische Thermodynamik, Paerson 2007.
F. Bosnjakovic: Technische Thermodynamik, Steinkopff Verlag, 1988.
A. Kluwick: Grundlagen der Strömungslehre, Skripten der TU-Wien, 1996.
J. Zierep, K. Bühler: Grundzüge der Strömungslehre, Springer, 2013.
E. Becker, E. Piltz: Technische Strömungslehre, Teubner, 1993. ",Nein,begleitende Übung,Pflichtfächer
256.300,Informationsmanagement,VL,Präsenz,Michaela Trierweiler,2024S,"3,00","2,0",Di. 18.06.24 12:00 - 15:15,200,100,4.0,German,I. WI Information Engineering,,B2 - Bachelor 2. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik 2022W,Schriftliche Klausur,Siehe  Informationsmanagement,Deutsch,Siehe  Informationsmanagement,Nein,,Information Engineering
345.130,Instrumentelle Analytik für Molekulare Biowissenschaften,VL,Präsenz,Christian Klampfl,2024S,"3,00","2,0",Mo. 17.06.24 10:15 - 11:45,150,117,13.0,German,A. Analytische Chemie,analytik@jku.at,B2 - Bachelor 2. Jahr,Chemie,Johannes Kepler Universität Linz,Bachelorstudium Molekulare Biowissenschaften 2016W,schriftliche Prüfung,Vorlesung,Deutsch,Download von ppt-Folien via KUSSS.,Nein,,Organische und Analytische Chemie für Molekulare Biowissenschaften
347.354,Introduction to Genetics,VL,Präsenz,Michael Breitenbach,2024S,"1,50","1,0",Mo. 17.06.24 10:15 - 11:45,180,179,5.0,English,I. Organische Chemie,,B1 - Bachelor 1. Jahr,Biologische Chemie,Johannes Kepler Universität Linz,Bachelorstudium Biological Chemistry 2019W,(*)Written Exam,(*)Lecture,Englisch,"(*)Griffiths et al. An Introduction to genetic analysis, Freeman, NY, 2000
Lodish et al. Molecular cell biology, Freeman, NY, 2016
Alberts et al. Molecular biology of the cell, Garland, NY, 2015
And the corresponding newer editions of all three books",Nein,,(*)Electives
249.443,Investmentanalyse und Risikomanagement,KS,Präsenz,Johann Burgstaller,2024S,"3,00","2,0",Di. 18.06.24 10:15 - 11:45,100,24,12.0,German,A. Asset Management,johann.burgstaller@jku.at,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre 2021W,Klausur und interaktives Element.,"Vortrag, Diskussion.",Deutsch,"Bodie, Z., Kane, A., Marcus, A.J. (2014), Investments, 10. Auflage, McGraw-Hill.
Ergänzungsliteratur wird in der Lehrveranstaltung bekanntgegeben.",Nein,,Wahlfächer 2. Studienabschnitt
136.309,Kriminologie/Abweichendes Verhalten,VL,Präsenz,Helmut Hirtenlehner,2024S,"3,00","2,0",Mo. 17.06.24 13:45 - 15:15,170,98,12.0,German,I. Strafrechtswissenschaften,,D - Diplom,Sozialwissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften 2016W,Klausur am Ende des Semesters,Vortrag,Deutsch,"In der aktuellen Fassung:
Kunz, Kriminologie",Nein,,Wahlfächer
531.120,Lineare Algebra I,VO,Präsenz,Erhard Aichinger,2024S,"4,00","4,0",Mo. 17.06.24 10:15 - 11:45,125,102,26.0,German,A. MINT Didaktik,erhard.aichinger@jku.at,,,,,,,,,,,Not available
368.102,Lineare Algebra und Analytische Geometrie 2,VO,Präsenz,Manuel Kauers,2024S,"7,50","5,0",Mo. 17.06.24 12:00 - 13:30,120,43,37.0,German,I. Algebra,,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Technische Mathematik 2023W,Schriftliche Prüfungen. ,,Deutsch,Wird vom jeweiligen LVA-Leiter bekanntgegeben.,Nein,,Pflichtfächer
358.001,Maschinenelemente,VL,Präsenz,Gudrun Mikota,2024S,"3,00","2,0",Do. 20.06.24 08:30 - 10:00,170,117,13.0,German,I. Maschinenlehre u. Fluidtechnik,office.imh@jku.at,B2 - Bachelor 2. Jahr,Maschinenbau,Johannes Kepler Universität Linz,Bachelorstudium Maschinenbau 2023W,"Schriftliche und mündliche Prüfung. Die schriftliche Prüfung besteht aus zwei Beispielen; beide Beispiele umfassen jeweils die Berechnung einer kleineren Baugruppe. In Summe muss die Hälfte der Punkte erreicht werden, um zur mündlichen Prüfung antreten zu können. Ausnahme: bei der 3. Prüfung kann in jedem Fall ein Antritt zur mündlichen Prüfung erfolgen. In der mündlichen Prüfung werden zwei Fragen gestellt, die meist einen größeren Bereich umfassen; während der Antwort werden Zwischenfragen gestellt, um die Durchdringung des Fachgebietes zu überprüfen.",Frontalunterricht; ausführliches Skriptum; Üben des Erlernten in den begleitenden Übungen (siehe Maschinenelemente Übungen) ,Deutsch,"Skriptum; zusätzlich hilfreich: Niemann, Winter, Höhn, Stahl: Maschinenelemente (Springer Verlag); Roloff/ Matek: Maschinenelemente (vieweg Verlag); Decker: Maschinenelemente (Hanser Verlag); Schlecht: Maschinenelemente (Pearson Verlag)",Nein,Keine,Pflichtfächer
324.820,Mathematics for AI II,VL,Präsenz,Krystian Kazaniecki,2024S,"6,00","4,0",Mi. 19.06.24 10:15 - 11:45,600,528,27.0,English,A. Funktionalanalysis,krystian.kazaniecki@jku.at,B1 - Bachelor 1. Jahr,Artificial Intelligence,Johannes Kepler Universität Linz,Bachelorstudium Artificial Intelligence 2022W,(*)final exam,,Englisch,"(*)Manuscript, slides, videos and exercises+solutions can be found on Moodle.",Nein,,(*)Mathematics
357.121,Mathematik 2,UE,Präsenz,Robert Pollak,2024S,"1,50","1,0",Do. 20.06.24 12:00 - 12:45,35,30,19.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,robert.pollak@jku.at,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in den Übungen bekanntgegeben,Nein,keine,Pflichtfächer
357.122,Mathematik 2,UE,Präsenz,Robert Pollak,2024S,"1,50","1,0",Do. 20.06.24 12:45 - 13:30,35,33,19.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in den Übungen bekanntgegeben,Nein,keine,Pflichtfächer
357.123,Mathematik 2,UE,Präsenz,Dmitry Efrosinin,2024S,"1,50","1,0",Do. 20.06.24 12:00 - 12:45,35,35,19.0,German,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik 2021W,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,wird in den Übungen bekanntgegeben,Nein,keine,Pflichtfächer
