course_number,course_name,type,kind,lecturer,semester,ects,max_students,registered_students,no_dates_total,instute,email,level,study_area,university,curriculum,assessment_criteria,teaching_methods,language,other_information,study_subject,room_id
258.410,Data Mining,VL,Präsenz,Christoph Georg Schütz,2024S,"3,00",150,170,10.0,I. WI Data & Knowledge Engineering,christoph.schuetz@jku.at,M1 - Master 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Masterstudium Wirtschaftsinformatik,Schriftliche Klausur,"Die Lehrinhalte werden vermittelt mittels Methoden des Blended Learning, insbesondere Flipped Classroom, mit interaktiven Elementen zur Festigung des Wissens.",deutsch/englisch,,Wahlfach Wirtschaftsinformatik,0
371.000,Einführung in den Maschinenbau,VL,Präsenz,Klaus Zeman,2024S,"3,00",150,148,27.0,I. Mechatr. Produktentw. u. Fertigung,klaus.zeman@jku.at,B1 - Bachelor 1. Jahr,Maschinenbau,Johannes Kepler Universität Linz,Bachelorstudium Maschinenbau,schriftliche Prüfung,"Frontalunterricht, Erklären der theoretischen Grundlagen anhand eines Skriptums und Beispielen",Deutsch,keine,Pflichtfächer,0
239.124,Einführung in die Makroökonomie,IK,Präsenz,Maximilian Böck,2024S,"3,00",40,14,6.0,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,,Wahlfächer,0
239.125,Einführung in die Makroökonomie,IK,Präsenz,Benjamin Karner,2024S,"3,00",40,42,10.0,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,,Wahlfächer,0
239.126,Einführung in die Makroökonomie,IK,Präsenz,Benjamin Karner,2024S,"3,00",40,35,10.0,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,,Wahlfächer,0
239.300,Einführung in die Makroökonomie,IK,Präsenz,Johannes Lukas,2024S,"3,00",40,37,7.0,I. Volkswirtschaftslehre,,B1 - Bachelor 1. Jahr,Volkswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftswissenschaften,"""Vorlesungsprüfung"" als schriftliche Prüfung(en):Zwei Klausuren (Multiple Choice-Fragen)Zumindest an einer der beiden Klausuren muss teilgenommen werden. 
Die bessere der Noten auf die beiden Klausuren bzw. die eine absolvierte Klausur wird gewertet. 
50 Prozent der Aufgaben müssen richtig sein, um eine positive Note zu bekommen. 
Intelligentes Fragenstellen und gute Diskussionsbeiträge werden durch Mitarbeitspunkte honoriert; sie können die Note verbessern, aber nicht das Durchkommen retten. ","Die Studierenden bereiten ein Lehrbuchkapitel vor. 
Der Lektor präsentiert die wichtigsten Inhalte im Kurs und macht Verweise auf die Praxis. 
Die Studierenden sollen durch Fragenstellen jedwede Unklarheit ausräumen. ",Deutsch,,Wahlfächer,0
259.002,Einführung in die Softwareentwicklung mit Python,VL,Präsenz,Iris Groher,2024S,"3,00",200,223,11.0,I. WI Software Engineering,iris.groher@jku.at,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,Kumulative Modulprüfung,"Folienvortrag mit Beispielen an der Tafel, Distance Learning",Deutsch / English,(*)Attending the exercise (Uebung) connected with this lecture in the same semester is obligatory.,Wahlfächer,0
243.115,Einführung in die Wirtschaftswissenschaften für Juristinnen und Juristen,KV,Präsenz,René Andeßner,2024S,"6,00",200,134,22.0,I. Public and Nonprofit Management,jurbwl@jku.at,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften,Schriftliche Klausur,"Vortrag durch die LVA-LeiterInnen
Diskussion von Fällen und Beispielen
Begleitendes Selbststudium",Deutsch,,Zweiter Studienabschnitt,0
325.004,Einführung in die Zahlentheorie,VO,Präsenz,Friedrich Pillichshammer,2024S,"3,00",30,20,13.0,I. Finanzmath. u. Angew. Zahlentheorie,,B3 - Bachelor 3. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Technische Mathematik,Schriftliche Prüfung,,Deutsch,,Wahlfächer,0
340.400,Embedded and Pervasive Systems,VO,Präsenz,Alois Ferscha,2024S,"3,00",200,140,13.0,I. Pervasive Computing,teaching@pervasive.jku.at,B3 - Bachelor 3. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,Klausur am Semesterende,Foliengestützter Vortrag ,Deutsch,https://www.jku.at/institut-fuer-pervasive-computing/,Systeme,0
346.202,Exercises in Physical Chemistry II,UE,Präsenz,Elisabeth Leeb,2024S,"1,50",25,26,12.0,I. Physikalische Chemie,elisabeth.leeb@jku.at,B2 - Bachelor 2. Jahr,Chemie,Johannes Kepler Universität Linz,Bachelorstudium Chemistry and Chemical Technology,"(*)written exam, attendance, homework","(*)mathematical calculations of examples, questions during the course",Englisch,,(*)Physical Chemistry,0
346.203,Exercises in Physical Chemistry II,UE,Präsenz,Elisabeth Leeb,2024S,"1,50",25,26,12.0,I. Physikalische Chemie,elisabeth.leeb@jku.at,B2 - Bachelor 2. Jahr,Chemie,Johannes Kepler Universität Linz,Bachelorstudium Chemistry and Chemical Technology,"(*)written exam, attendance, homework","(*)mathematical calculations of examples, questions during the course",Englisch,,(*)Physical Chemistry,0
531.240,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00",25,30,34.0,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,Not available,0
531.241,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00",25,10,34.0,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,Not available,0
531.242,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00",25,14,34.0,A. MINT Didaktik,"bert.juettler@jku.at, katharina.rittenscho@ph-linz.at",,,,,,,,,Not available,0
243.001,Grundkurs Public und Nonprofit Management,KS,Präsenz,Sandra Stötzer,2024S,"6,00",100,72,11.0,I. Public and Nonprofit Management,,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,Schriftliche Klausur,Vortrag durch die Lehrenden; Selbststudium der Basisliteratur; gegebenenfalls Gastvortrag,Deutsch,,Wahlfächer,0
360.001,Grundzüge der Thermofluiddynamik,VL,Präsenz,Philipp Gittler,2024S,"4,50",200,121,28.0,I. Strömungslehre u. Wärmeübertragung,office.fluid@jku.at,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,Schriftliche und/oder mündliche Prüfung,Vortrag anhand eines Skriptums,Deutsch,begleitende Übung,Pflichtfächer,0
256.300,Informationsmanagement,VL,Präsenz,Michaela Trierweiler,2024S,"3,00",200,100,4.0,I. WI Information Engineering,,B2 - Bachelor 2. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik,Schriftliche Klausur,Siehe  Informationsmanagement,Deutsch,,Information Engineering,0
345.130,Instrumentelle Analytik für Molekulare Biowissenschaften,VL,Präsenz,Christian Klampfl,2024S,"3,00",150,117,13.0,A. Analytische Chemie,analytik@jku.at,B2 - Bachelor 2. Jahr,Chemie,Johannes Kepler Universität Linz,Bachelorstudium Molekulare Biowissenschaften,schriftliche Prüfung,Vorlesung,Deutsch,,Organische und Analytische Chemie für Molekulare Biowissenschaften,0
347.354,Introduction to Genetics,VL,Präsenz,Michael Breitenbach,2024S,"1,50",180,179,5.0,I. Organische Chemie,,B1 - Bachelor 1. Jahr,Biologische Chemie,Johannes Kepler Universität Linz,Bachelorstudium Biological Chemistry,(*)Written Exam,(*)Lecture,Englisch,,(*)Electives,0
249.443,Investmentanalyse und Risikomanagement,KS,Präsenz,Johann Burgstaller,2024S,"3,00",100,24,12.0,A. Asset Management,johann.burgstaller@jku.at,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,Klausur und interaktives Element.,"Vortrag, Diskussion.",Deutsch,,Wahlfächer 2. Studienabschnitt,0
136.309,Kriminologie/Abweichendes Verhalten,VL,Präsenz,Helmut Hirtenlehner,2024S,"3,00",170,98,12.0,I. Strafrechtswissenschaften,,D - Diplom,Sozialwissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften,Klausur am Ende des Semesters,Vortrag,Deutsch,,Wahlfächer,0
531.120,Lineare Algebra I,VO,Präsenz,Erhard Aichinger,2024S,"4,00",125,102,26.0,A. MINT Didaktik,erhard.aichinger@jku.at,,,,,,,,,Not available,0
368.102,Lineare Algebra und Analytische Geometrie 2,VO,Präsenz,Manuel Kauers,2024S,"7,50",120,43,37.0,I. Algebra,,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Technische Mathematik,Schriftliche Prüfungen. ,,Deutsch,,Pflichtfächer,0
358.001,Maschinenelemente,VL,Präsenz,Gudrun Mikota,2024S,"3,00",170,117,13.0,I. Maschinenlehre u. Fluidtechnik,office.imh@jku.at,B2 - Bachelor 2. Jahr,Maschinenbau,Johannes Kepler Universität Linz,Bachelorstudium Maschinenbau,"Schriftliche und mündliche Prüfung. Die schriftliche Prüfung besteht aus zwei Beispielen; beide Beispiele umfassen jeweils die Berechnung einer kleineren Baugruppe. In Summe muss die Hälfte der Punkte erreicht werden, um zur mündlichen Prüfung antreten zu können. Ausnahme: bei der 3. Prüfung kann in jedem Fall ein Antritt zur mündlichen Prüfung erfolgen. In der mündlichen Prüfung werden zwei Fragen gestellt, die meist einen größeren Bereich umfassen; während der Antwort werden Zwischenfragen gestellt, um die Durchdringung des Fachgebietes zu überprüfen.",Frontalunterricht; ausführliches Skriptum; Üben des Erlernten in den begleitenden Übungen (siehe Maschinenelemente Übungen) ,Deutsch,Keine,Pflichtfächer,0
324.820,Mathematics for AI II,VL,Präsenz,Krystian Kazaniecki,2024S,"6,00",600,528,27.0,A. Funktionalanalysis,krystian.kazaniecki@jku.at,B1 - Bachelor 1. Jahr,Artificial Intelligence,Johannes Kepler Universität Linz,Bachelorstudium Artificial Intelligence,(*)final exam,,Englisch,,(*)Mathematics,0
357.121,Mathematik 2,UE,Präsenz,Robert Pollak,2024S,"1,50",35,30,19.0,I. Math. Methoden Med. u. Datenbas. Mod.,robert.pollak@jku.at,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,keine,Pflichtfächer,0
357.122,Mathematik 2,UE,Präsenz,Robert Pollak,2024S,"1,50",35,33,19.0,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,keine,Pflichtfächer,0
357.123,Mathematik 2,UE,Präsenz,Dmitry Efrosinin,2024S,"1,50",35,35,19.0,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,keine,Pflichtfächer,0
357.124,Mathematik 2,UE,Präsenz,Dmitry Efrosinin,2024S,"1,50",35,35,19.0,I. Math. Methoden Med. u. Datenbas. Mod.,,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,keine,Pflichtfächer,0
357.125,Mathematik 2,UE,Präsenz,Valentin Sturm,2024S,"1,50",35,37,19.0,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,keine,Pflichtfächer,0
357.126,Mathematik 2,UE,Präsenz,Valentin Sturm,2024S,"1,50",35,35,19.0,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,keine,Pflichtfächer,0
357.128,Mathematik 2,UE,Präsenz,Robert Pollak,2024S,"1,50",35,24,19.0,I. Math. Methoden Med. u. Datenbas. Mod.,info@m3dm.jku.at,B1 - Bachelor 1. Jahr,Mathematik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"Schriftliche Übungsklausuren, Anzahl der vorbereiteten Beispiele, Präsentation von Aufgaben, erzielte Punkte bei Projektabgaben",Präsentation und Diskussion an der Tafel; eigenständige Ausarbeitung von Aufgaben,Deutsch,keine,Pflichtfächer,0
245.312,Operations and Supply Chain Management,IK,Präsenz,Simon Currle,2024S,"3,00",40,42,10.0,I. Produktions-u.Logistikmanagement,simon.currle@jku.at,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,"Homework exercises, exam(s)","Discussion of exercises, group work",English,We strongly recommend to attend KS and IK “Operations and Supply Chain Management” in the same semester.,Wahlfächer,0
245.311,Operations and Supply Chain Management,KS,Präsenz,Simon Currle,2024S,"3,00",100,91,11.0,I. Produktions-u.Logistikmanagement,elisabeth.gaar@jku.at,B2 - Bachelor 2. Jahr,Betriebswirtschaftslehre,Johannes Kepler Universität Linz,Bachelorstudium Betriebswirtschaftslehre,"Exam(s), exercises","Lecture, case studies, discussion",English,We recommend to attend KS and IK “Operations and Supply Chain Management” in the same semester.,(*)Digitalization and Supply Chain Management,0
381.013,Polymer Injection Moulding 2: Process Technologies,KV,Präsenz,Georg Steinbichler,2024S,"3,00",35,11,14.0,"I. Polymer Inj. Moulding, Process Autom.",,M1 - Master 1. Jahr,Kunststofftechnik,Johannes Kepler Universität Linz,Masterstudium Polymer Technologies and Science (PTS),(*)Written exam,,Englisch,,(*)Polymer Processing,0
150.031,Praxis der Unternehmensbesteuerung,VL,Präsenz,Christoph Finsterer,2024S,"1,50",200,62,3.0,"I. Finanz-, Steuerrecht u. Steuerpolitik",steuerrecht@jku.at,D - Diplom,Rechtswissenschaften,Johannes Kepler Universität Linz,Diplomstudium Rechtswissenschaften,Die Beurteilung erfolgt auf Basis der Mitwirkung an den Vorlesungsinhalten.,Die Lehrinhalte werden im Rahmen von Vorträgen und Diskussionen erarbeitet. ,Deutsch,Die Lehrveranstaltung bildet in ihrer Gesamtheit einen Bestandteil des Fertigkeitentrainings im Sinne von § 3 des Curriculums. ,Zweiter Studienabschnitt,0
343.355,Projektorganisation,KV,Präsenz,Paul Grünbacher,2024S,"3,00",35,28,6.0,I. Software Systems Engineering,paul.gruenbacher@jku.at,B2 - Bachelor 2. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,2-4 praktische Übungen im Rahmen des Semesterprojekts; schriftlicher Test am Ende des Semesters (Sommersemester); Ausarbeitung und Präsentation eines Vertiefungsthemas (Wintersemester),Folienvortrag; Semesterprojekt in Gruppen; Besprechung neuer und abgegebener Projektaufgaben; Diskussionen; Verwendung von Softwarewerkzeugen,Deutsch,,Begleitende Inhalte,0
257.211,Prozess- und Kommunikationsmodellierung,UE,Präsenz,Udo Kannengiesser,2024S,"3,00",30,30,10.0,I. WI Communications Engineering,udo.kannengiesser@jku.at,B1 - Bachelor 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik,Beurteilung von individuellen Modellierungsaufgaben und der Ergebnisse der Gruppenreflexion(Gewichtung je 50%) für jede Teilaufgabe.,Angeleitete Explorierung und Reflexion,Deutsch,Siehe  Prozess- und Kommunikationsmodellierung,Wahlfächer,0
257.213,Prozess- und Kommunikationsmodellierung,UE,Präsenz,Udo Kannengiesser,2024S,"3,00",30,16,10.0,I. WI Communications Engineering,udo.kannengiesser@jku.at,B1 - Bachelor 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik,Beurteilung von individuellen Modellierungsaufgaben und der Ergebnisse der Gruppenreflexion(Gewichtung je 50%) für jede Teilaufgabe.,Angeleitete Explorierung und Reflexion,Deutsch,Siehe  Prozess- und Kommunikationsmodellierung,Wahlfächer,0
257.214,Prozess- und Kommunikationsmodellierung,UE,Präsenz,Richard Heininger,2024S,"3,00",30,31,10.0,I. WI Communications Engineering,richard.heininger@jku.at,B1 - Bachelor 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik,Beurteilung von individuellen Modellierungsaufgaben und der Ergebnisse der Gruppenreflexion(Gewichtung je 50%) für jede Teilaufgabe.,Angeleitete Explorierung und Reflexion,Deutsch,Siehe  Prozess- und Kommunikationsmodellierung,Wahlfächer,0
257.200,Prozess- und Kommunikationsmodellierung,VL,Präsenz,Udo Kannengiesser,2024S,"3,00",200,152,8.0,I. WI Communications Engineering,udo.kannengiesser@jku.at,B1 - Bachelor 1. Jahr,Wirtschaftsinformatik,Johannes Kepler Universität Linz,Bachelorstudium Wirtschaftsinformatik,Klausur,"Konzeptuelle Inputs und interaktiver Diskurs auf Basis von Fragen, die zu jeder Lerneinheit gestellt werden. Das gesamte Material ist didaktisch aufbereitet in einer e-Learning-Plattform verfügbar. Die Studierenden haben die Möglichkeit, ihre Überlegungen in einem den Fragen zugeordneten Forum kontextsensitiv einzupflegen und zu bearbeiten.",Deutsch,Siehe  Prozess- und Kommunikationsmodellierung,Wahlfächer,0
361.007,Regelungstechnik,UE,Präsenz,Georg Hartl,2024S,"1,50",35,35,14.0,I. Regelungstechn. u. Prozessautomatis.,,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"2 Klausuren, eine ca. zur Hälfte und eine am Ende der Lehrveranstaltung",Tafel- und Folienvortrag ergänzt durch Übungsbeispiele als Hausarbeit,Deutsch,,Pflichtfächer,0
361.008,Regelungstechnik,UE,Präsenz,Johannes Schrotshamer,2024S,"1,50",35,33,14.0,I. Regelungstechn. u. Prozessautomatis.,,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"2 Klausuren, eine ca. zur Hälfte und eine am Ende der Lehrveranstaltung",Tafel- und Folienvortrag ergänzt durch Übungsbeispiele als Hausarbeit,Deutsch,,Pflichtfächer,0
361.009,Regelungstechnik,UE,Präsenz,Johannes Schrotshamer,2024S,"1,50",35,32,14.0,I. Regelungstechn. u. Prozessautomatis.,,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,"2 Klausuren, eine ca. zur Hälfte und eine am Ende der Lehrveranstaltung",Tafel- und Folienvortrag ergänzt durch Übungsbeispiele als Hausarbeit,Deutsch,,Pflichtfächer,0
361.001,Regelungstechnik,VL,Präsenz,Markus Schöberl,2024S,"4,50",140,131,21.0,I. Regelungstechn. u. Prozessautomatis.,,B2 - Bachelor 2. Jahr,Mechatronik,Johannes Kepler Universität Linz,Bachelorstudium Mechatronik,schriftliche Klausur und/oder mündliche Prüfung,Tafel- und Folienvortrag,Deutsch,,Pflichtfächer,0
382.059,Signalverarbeitung,VL,Präsenz,Mario Huemer,2024S,"4,50",70,53,15.0,I. Signalverarbeitung,office.isp@jku.at,B2 - Bachelor 2. Jahr,Informationselektronik,Johannes Kepler Universität Linz,Bachelorstudium Elektronik und Informationstechnik,Schriftliche Klausur,Folien/Tafelvortrag unterstützt mit Matlab-basierten Demos,Deutsch,,Wahlfächer,0
339.170,Softwareentwicklung 1,VO,Präsenz,Hanspeter Mössenböck,2024S,"3,00",100,108,12.0,I. Systemsoftware,hanspeter.moessenboeck@jku.at,B1 - Bachelor 1. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,Klausur am Semesterende,Folienvortrag mit Beispielen an der Tafel.,Deutsch,Für nähere Informationen siehe http://ssw.jku.at/Teaching/Lectures/,Software,0
339.191,Softwareentwicklung 2,VO,Präsenz,Herbert Prähofer,2024S,"3,00",300,307,17.0,I. Systemsoftware,herbert.praehofer@jku.at,B1 - Bachelor 1. Jahr,Informatik,Johannes Kepler Universität Linz,Bachelorstudium Informatik,Klausur am Semesterende,"Folienvortrag mit Beispielen an der Tafel. In wöchentlichen Programmieraufgaben, die in der darauffolgenden Woche besprochen werden, erwerben Sie praktische Programmiererfahrungen.",Deutsch,Für weitere Informationen siehe http://ssw.jku.at/Teaching/Lectures/SW2/VL/,Software,0
